Doctor Name,Years of Experience,PMC Verified,Type,About,Services,Education and Certification,Experience,Clinic Name,Clinic Address,Clinic Fees,Clinic Schedule,Consultation,Consultation Fees,Consultation Schedule,Page Url
Asst. Prof. Dr. Hafiz Muhammad Zubair,16 Year,Yes,Gastroenterologist,"Asst. Prof. Dr. Hafiz Muhammad Zubair  is a Gastroenterologist and Diabetologist. He is having over 15 years of experience in the field of Gastroenterology and Diabetology.He practices at  Zobia Hospital  and  KRL Hospital . His field of interest includes Acid Peptic Disease (APD), Black Stools, Bleeding Mouth, Chronic Diarrhea, Colonoscopy, Diabetes Management, Dysphagia, Endoscopy, Gallbladder disease, Gastroesophageal Reflux Disease (GERD), Hepatitis A, B, C, Irritable bowel syndrome (IBS), Liver Cancer, Lower GI Endoscopy, Pancreatic.","Endoscopy


Dysphagia


Black Stools


Liver Cancer


Bleeding Mouth


Hepatitis A/B/C


Chronic Diarrhea


Esophageal Varices


Diabetes Management


Gallbladder disease


Diagnostic Colonoscopy


Acid Peptic Disease (APD)


Irritable bowel syndrome (IBS)


Colonoscopy (Lower GI Endoscopy)


Gastroesophageal Reflux Disease (GERD)","MBBS
FCPS","Zobia Hospital
KRL Hospital",Zobia Hospital,"Street # 30, Plot # 150, G-9/1, Sector G, Islamabad",Rs. 1500,"Monday
7:00pm - 9:00pm
Tuesday
7:00pm - 9:00pm
Wednesday
7:00pm - 9:00pm
Thursday

7:00pm - 9:00pm

Friday

7:00pm - 9:00pm

Saturday

7:00pm - 9:00pm

Sunday

-- 9:00pm",,,,https://instacare.pk/doctors/islamabad/gastroenterologist/asst-prof-dr-hafiz-muhammad-zubair
Col. (R). Dr. Naseer Ahmed Malik TI(M),49 Year,Yes,Dentist,"Col. (R). Dr. Naseer Ahmed Malik  is among the Best Dentists in Lahore.  Colonels Family Dentistry  is being run by a renowned Dentist  Col (R) Dr Naseer Ahmed Malik  with the aim to provide quality dental treatment.  Dr Malik  is a decorated officer who served in  Army Dental Corps (ADC)  for 29 years. Possessing 4 decades of experience; While serving  as Major  was awarded prestigious  Tamgha-e-Imtiaz (Military)  on 23rd Mar 1995 for his extra-ordinary contributions for ADC.. His field of interest includes Aesthetic Crown And Bridges, Ceramic Braces, Dental Implants, Fillings, Gum Disease, Root Canal, Scaling and Polishing?, Teeth Whitening, Tooth Extraction.","Fillings


Root Canal


Gum Disease


Ceramic Braces


Teeth Whitening


Dental Implants


Tooth Extraction


scaling and polishing (Air and ultrasonic)",,,Colonel’s Family Dentistry,"38 Bank Square Market, Model Town, Lahore",Rs. 1500,"Monday
5:00pm - 10:00pm
Tuesday
5:00pm - 10:00pm
Wednesday
5:00pm - 10:00pm
Thursday

5:00pm - 10:00pm

Friday

5:00pm - 10:00pm

Saturday

5:00pm - 10:00pm

Sunday

5:00pm- 10:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/lahore/dentist/col-r-dr-naseer-ahmed-malik-tim
Dr. Col. Sadia Batool Alvi,30 Year,Yes,Pediatrician,"Dr. Col. Sadia Batool Alvi  is a Pediatrician . Sh e is having over 30 years of experience in the field of  Pediatrics  and practices at  Reliance Hospital .  Her field of interest includes  Autism, Cerebral Palsy, Asthma, Genetic Defects, Asthma, Headaches, Abdominal Pain, Enuresis, ADHD, Allergies,  Behavior Problems, Brain Conditions, Constipation, Developmental Delay, Developmental Dysplasia, Encopresis, Faecal Incontinenceor, Fragile X Syndrome, Poor Growth, Sleep Problems, Adolescent Medicine, Complete Vaccination, Diarrhea, Gastroenterological Problems, Hematogic Complications, Immunization, Immunologic Complications, Management Of Pediatric Illness, Newborn Babies Health Problems, Newborn Illnesses, Nutrition Assessment, Opd Consultation, Respiratory Complications, Respiratory Tract Infections, Short Stature, Underweight Children,, Vaccination Against Chicken Pox, Vaccination Against Flu, Vaccination Against Hepatitis, Vaccination Against Measles, Vaccination Against Meningitis, Vaccination Against Mumps, Vaccination Against Pneumonia, Vaccination Against Polio, Vaccination Against Rubella, Vaccination Against Tb, Vaccination Against Tetanus, Vaccination Against Typhoid.","ADHD


Asthma


Autism


Diarrhea


Allergies


Asthma TB


Encopresis


Headaches


Poor Growth


Vaccination
 

Constipation


Short Stature


Cerebral Palsy


Brain Conditions


Stone Treatment


Seizures Problems


Adolescent Medicine


Allergy Treatment


Allergy In Children


Nutrition Assessment


Complete Vaccination


Dietary Consultation


Faecal Incontinenceor


Pediatric Consultation


Detailed Newboarn Examine


Vaccination Against Mumps


Vaccination Against Chicken Pox",,,Reliance Hospital,"132 Civic Center- Phase 4 Near KFC, Bahria Town, Islamabad",Rs. 2000,"Monday
3:00pm - 6:00pm
Tuesday
3:00pm - 6:00pm
Wednesday
3:00pm - 6:00pm
Thursday

3:00pm - 6:00pm

Friday

3:00pm - 6:00pm

Saturday

3:00pm - 6:00pm

Sunday

- 6:00pm",,,,https://instacare.pk/doctors/islamabad/pediatrician/dr-col-sadia-batool-alvi
Dr. Faizan Memon,9 Year,Yes,Neurologist,"Dr. Faizan Memon  is a Neurologist . He is having over 8 years of experience in the field of  Neurology. He practices at  United Hospital ( Karachi ) .  His field of interest includes  Autism, Epilepsy, Brain Tumor, Dizziness And Stroke, Alzheimers, Headache, Memory Problems, Migraine, Numbness, Parkinson, Sclerosis, Balance Problem/walking Difficulty, Brainstem Death, Cervical/lumbar Spondylosis/stenosis, Cluster Headaches, Dementia, Digital EEG Test, EMG, Facial Pain And Headache, Learning Disability, Meningitis, Migraine Headache /other Headache Disorders, Multiple Sclerosis/Neuromyelitis Optica, Muscular Dystrophy, Myasthenia Gravis, Nerve And Muscle Diseases, Nerve Condition Study, Parkinson Disease/tremors/Dystonia, Sleep Disorder, Stress Headaches, Transverse Myelitis, Tremor Analysis, Trigeminal Neuralgia.","EMG


Autism


Dementia


Alzheimers


Meningitis


Brain Tumor


Brainstem Death


Tremor Analysis


Digital EEG Test


Cluster Headaches


Learning Disability


Migraine Treatment


Transverse Myelitis


Epilepsy Treatment


Dizziness And Stroke


Facial Pain And Headache


Balance Problem/walking Difficulty


Cervical/lumbar Spondylosis/stenosis


Parkinson Disease ,tremors, Dystonia


Multiple Sclerosis/Neuromyelitis Optica


Migraine Headache /other Headache Disorders",,,,,,,,,,https://instacare.pk/doctors/karachi/neurologist/dr-faizan-memon
Dr. Ghulam Mujtaba,35 Year,Yes,Dermatologist,"Dr. Ghulam Mujtaba   is a  Dermatologist . He is having over 33 years of experience in the field of Dermatology and practices at  Skin Care Clinic (Multan) .  His field of interest includes  Acne Scar Removal, Alopecia, Anti Aging, Chemical Peel, Electrocautery for Removal of Warts, Fillers, Hair Transplant,  HydraFacial, Laser Hair Removal, PRP for Hair & Skin, Skin Brightening","3 D HIFU


Alopecia


Anti Aging


Carbon Peel


Burn Surgery


Hydrafacial


Hyperhidrosis


Carbon Facial


Picosure Laser


PRP Treatment


Laser Treatment


Chemical Peeling


Laser Hair Removal


Acne Scar Treatment


Facial Contouring By Fillers


Cryotherapy And Electrocautery",,,,,,,,,,https://instacare.pk/doctors/multan/dermatologist/dr-ghulam-mujtaba
Dr. G. Mehboob Bhatti,43 Year,Yes,General Physician,"Dr. G. Mehboob Bhatti  is a  General Physician . He is having over 42 years of experience in the field of   and practices at  Mehboob Poly Clinic .  His field of interest includes  Thyroid Disorders, Epilepsy, Asthma, Diabetes, Gestational Diabetes Treatment, Chest Pain, Diabetic Treatment, Anemia, Cardiovascular System, Cerebrovascular Accident, Chronic Obstructive Pulmonary Disease, Dementia, Emphysema, Endocrinological, Gastroenteritis, Gastrointestinal System, Hematology, Ischemic Heart Disease, Liver Disease Including Alcoholic Lever Disease, Lung Fibrosis, Neurological System, Pituitary Disease, Respiratory System, Thyroid Disease, 4 D Live Ultrasound, Assessment Of Hyper Tension And Ischemic Diseases, Assessment Of Urogenital System, Biopsy Of All Types, Chest Diseases, Cld Intestine, Common Ent Problem, G.I.T Image Of Liver, Gastrointestinal Issue, Joint Diseases, Minor Surgeries, Respiratory Issues, Skin Diseases, Urinary Tract Issue, Vaccination.","Diabetes


Emphysema


Chest Pain


Vaccination


Cld Intestine


Lung Fibrosis


Skin Diseases


Joint Diseases


Chest Diseases


Thyroid Disease


Endocrinological


Pituitary Disease


Thyroid Disorders


Common Ent Problem


Diabetic Treatment


Respiratory Issues


4 D Live Ultrasound


Biopsy Of All Types


 Neurological System


Urinary Tract Issue


G.I.T Image Of Liver


Cardiovascular System


Gastrointestinal Issue


Gastrointestinal System


Ischaemic Heart Disease


Cerebrovascular Accident


Assesment Of Urogenital System


Gestational Diabetes Treatment


Chronic Obstructive Pulmonary Disease


Assesment Of Hyper Tension And Ischemic


Liver Disease Including Alcoholic Liver Disease",,,,,,,,,,https://instacare.pk/doctors/karachi/general-physician/dr-g-mehboob-bhatti
Dr. Hafizullah Khan,11 Year,Yes,Gastroenterologist,"Dr. Hafizullah Khan  is a consultant Gastroenterologist. He is having over 10 years of experience in the field of Gastroenterology and practices at  Dr. Hafizullah Khan Clinic  and  Inayat Health Centre . His Field of interest includes Allergy Treat, Black Stools, Chest infections management, Diabetes Management, Digestive and Metabolic Problems, Endoscopic Guided Ultrasound, Endoscopy, Fissures, Gastroscopy, Manometry, Peg Tube Placement, Sleep and Fatigue Problems.","Fissures


Manometry


Endoscopy


Polypectomy


Black Stools


Gastroscopy


Allergy Treat


Achalasia Dilation


Peg Tube Placement


Diabetes Management


Sleep and Fatigue Problems


Endoscopic Guided Ultrasound


Chest infections management


Digestive and Metabolic Problems",,,,,,,,,,https://instacare.pk/doctors/abbottabad/gastroenterologist/dr-hafizullah-khan
Dr. Ghulam Raza,32 Year,Yes,Pediatrician,"Dr. Ghulam Raza  is a Pediatrician . He is having over 32 years of experience in the field of  Pediatrics  and practices at  K-Health Care Hospital .  His field of interest includes  Autism, Cerebral Palsy, Genetic Defects, Asthma, Headaches, Abdominal Pain, Enuresis, ADHD, Allergies, Behaviour Problems, Brain Conditions, Constipation, Developmental Delay, Developmental Dysplasia, Encopresis, Faecal Incontinenceor, Fragile X Syndrome, Poor Growth, Sleep Problems, Adolescent Medicine, Complete Vaccination, Diarrhea, Gastroenterological Problems, Hematogic Complications, Immunization, Immunologic Complications, Management Of Pediatric Illness, Newborn Babies Health Problems, Newborn Illnesses, Nutrition Assessment, Opd Consultation, Respiratory Complications, Respiratory Tract Infections, Short Stature, Underweight Children,, Vaccination Against Chicken Pox, Vaccination Against Flu, Vaccination Against Hepatitis, Vaccination Against Measles, Vaccination Against Meningitis, Vaccination Against Mumps, Vaccination Against Pneumonia, Vaccination Against Polio, Vaccination Against Rubella, Vaccination Against Tb, Vaccination Against Tetanus, Vaccination Against Typhoid.","ADHD


Autism


Asthma


Diarrhea


Allergies
 

Asthma TB


Encopresis


Poor Growth


Vaccination


 Immunization


Constipation


Renal Issues


Short Stature


Cerebral Palsy


Blood Disorder


Sleep Problems


Genetic Defects


Brain Conditions


Newborn Illnesses


Seizures Problems


Fragile X Syndrome


Behaviour Problems


Emergency Treatment


Adolescent Medicine


Developmental Delay
 

Nutrition Assessment


Dietary Consultation


Developmental Dysplasia


Detailed Newboarn Examine


Vaccination Against Measles


Respiratory Tract Infections


Vaccination Against Hepatitis


Vaccination Against Chicken Pox",,,K-Health Care Hospital,"259-E-1, Block 6, Off Shahrah-e-Faisal, near PECHS Trauma Center Hospital, PECHS, Karachi",Rs. 1000,"Monday
10:00am - 1:00pm
Tuesday
10:00am - 1:00pm
Wednesday
10:00am - 1:00pm
Thursday

10:00am - 1:00pm

Friday

10:00am - 1:00pm

Saturday

10:00am - 1:00pm

Sunday

10:00am- 1:00pm",,,,https://instacare.pk/doctors/karachi/pediatrician/dr-ghulam-raza
Dr. Ahmad Rabb,28 Year,Yes,Dermatologist,"Dr. Ahmad Rabb   is a  Dermatologist . He is having over 27 years of experience in the field of Dermatology and practices at  Park Lane Hospital .  His field of interest includes  Cryotherapy And Electrocautery, Q Switch, Burn Surgery, Gynecomastia, Prp Derma Pen, Carbon Facial, Thread Lift, Lip Augmentation, Hair Removal Laser, Pigmentation And Skin Lightening, Dermatitis, Hyperhidrosis, Men's Skin Conditions, Rashes, Sun Damage, 3 D HIFU, Pediatric Dermatology, Alopecia, Bacterial Infections, Breast Augmentation, Carbon Peel, CIT For Skin Tightening And Scar Correction, Double Chin Treatment,  Electrocautery, Eye Brow Lift, Facial Contouring By Fillers, Fat Fillers, Laser And Facial Aesthetician, Laser Treatment, Melasma Treatment, Microdermabrasion, Nail Infections, Phototherapy, PRP And Endoret For Hairs, RF For Skin Tightening, Skin Surgery And Diagnostic Biopsy, Skin Tone Improvements, Tinea Capitis, Vampire Facelift, Vampire Facial, Vitiligo Treatment, Wart Removal.","Rashes


Pimples


3 D HIFU


Q Switch


Alopecia


Sun Damage


Psoriasis


Dermatitis


Carbon Peel


Burn Surgery


Skin Toning


Carbon Facial


Skin Peeling


Eye Brow Lift


Prp Derma Pen


Vampire Facial


Electrocauteri


 PRP Treatment


Nail Infections


Lip Augmentation


Melasma Treatment


Skin Rejuvenation


Acne Scar Treatment


Laser Hair Removal


Whitening Injections


Hair Fall Treatment


Double Chin Treatment


Skin Allergy Treatment


Removal Of Moles & Warts


Facial Contouring By Fillers


Cryotherapy And Electrocautery


Adult And Paediatric Dermatology


Pigmentation And Skin Lightening


CIT For Skin Tightening And Scar Correction",,,Park Lane Hospital,"56, Shahrah-E-Iran, Opp British Deputy High Comission, Old Clifton, Karachi",Rs. 3000,"Monday
3:00pm - 9:00pm
Tuesday
3:00pm - 9:00pm
Wednesday
3:00pm - 9:00pm
Thursday

3:00pm - 9:00pm

Friday

3:00pm - 9:00pm

Saturday

3:00pm - 9:00pm

Sunday

- 9:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/karachi/dermatologist/dr-ahmad-rabb
Dr. Aqeel Alam Awan,6 Year,Yes,Urologist,"Dr. Aqeel Alam Awan  is a Urologist. He is having over 5 years experience in the field of Urology and   practicing at  HM Diagnostics & Clinics . His field of interest  includes  Endourology And Laser Surgery, Enlarge Prostate Diagnostic, Erectile Dysfunction, Kidney Diseases, Kidney Failure, Nephrectomy, Penile Implants, Percutaneous Nephrolithotomy(PCNL), Prostatectomy, Pyelolithotomy, Radical  Proctectomy, Venereology,   Bladder/Kidney Tumor Surgery, Infertility, Male Sexual Health, Prostate Diseases, Stone Diseases, Stones Of Urinary Tract.","Nephrectomy


Ureter Stones


Prostatectomy


Bladder Stones


Pyelolithotomy


Kidney Cancer


Penile Implants


Kidney Failure


Male Infertility


Kidney Infections


Tumors Of The Testes


Prostate Enlargement


Urinary Bladder Stone


Stones Of Urinary Tract


Male Urinary Incontinence


Percutaneous Nephrolithotomy (PCNL)",,,HM Diagnostics & Clinics,"Basement # 13, 14, Crescent Arcade, Markaz Rd, G-8 Markaz, Islamabad",Rs. 1500,"Monday
2:00pm - 6:00pm
Tuesday
2:00pm - 6:00pm
Wednesday
2:00pm - 6:00pm
Thursday

2:00pm - 6:00pm

Friday

2:00pm - 6:00pm

Saturday

2:00pm - 6:00pm

Sunday

- 6:00pm",,,,https://instacare.pk/doctors/islamabad/urologist/dr-aqeel-alam-awan
