Name,Type,Years of Expereience,About,Education,Services,Diseases,Hospital Name,Doctor Schedule,Minimum Fees,Languages
Dr. Mushtaq Ahmad Azmi,General Physician,Less than 1 years of experience,"Dr. Mushtaq Ahmad Azmi is one of the best General Physician in Rahimyar Khan with a high patient satisfaction rate. He has the following qualifications: MBBSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Mushtaq Ahmad Azmi aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Rahimyar Khan.To book an appointment with Dr. Mushtaq Ahmad Azmi, call (042 32500989/021 37120261) or click on Book an Appointment.",MBBS,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Shaikh Zaid Medical College And Hospital,"Sun, Mon, Tue, Wed, Thu, Fri, Sat : 09:00 AM to 02:00 PM",,"English, Urdu."
Dr. Khizra Amjad,General Physician • Gynecologist,Less than 1 years of experience,"Dr. Khizra Amjad is one of the best gynecologists in Faisalabad with a high patient satisfaction rate. She earned her MBBS, RMP, PMDC (Reg) in gynecology. Her education and training in the field of gynecology makes her capable of diagnosing and treating various gynecological conditions such as hormonal problems, pregnancy complications, menstrual problems, etc.During her medical practice, Dr. Khizra Amjad remained associated with renowned hospitals/ maternity clinics. She continued serving in different gynecology departments for years treating all kinds of female reproductive health problems. A gynecologist also helps with the prevention of conditions related to the female reproductive tract.While working in gynecology she focuses on the management and treatment of the female reproductive tract using both medicinal and surgical approaches. Her other areas of interest include dealing with pregnancy complications as well as gynecological scanning. She has also been practicing in Gynecology since .Her exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of gynecology.Dr. Khizra Amjad has also been performing advanced gynecological procedures. Based on your existing conditions, she provides customized treatment plans for female patients of childbearing age. Her expertise in advanced gynecology makes her one of the top certified gynecologists in Faisalabad.To book an appointment with Dr. Khizra Amjad, call (042 32500989/021 37120261) or click on Book an Appointment.",MBBS - Independent Medical College Faisalabad,"Antenatal Care
 C-Section Normal Delivery
 Cervical Screening Cancer
 Contraception
 Hysterectomies
 Laparoscopy Hysteroscopy
 Lower Abdominal Pain Management
 Normal & Abnormal Pregnancies
 Ovarian Cyst Removal
 Ovarian Cysts & Tumours Surgeries
 Ovarian Drilling
 PCOS Treatment
 Hormone Disorders Treatment
 Contraception Advice
 Infertility Treatment
 IUCD Placement
 Normal Delivery
 Prenatal Invasive Tests
 Tubal Ligation
 Tvs And Obstetrical Ultrasound
 Clinical Breast Examination","Pelvic Inflammatory Disease 
Ovarian Cysts
Cervical Cancer
Endometrial Cancer
Bartholin's Cyst
Post Menopause Bleeding
Endometrial Hyperplasia
Postpartum Complications
Salpingitis
Ovarian Cancer
Vulvar Cancer
Vulvodynia
Vaginitis
Postpartum Hemorrhage
Preeclampsia
Subchorionic Bleeding
Bacterial Vaginosis
Genital Warts
Ectopic Pregnancy 
Cervical Intraepithelial Neoplasia
Fetal Distress
Sexually Transmitted Disease
Miscarriage
Uro Gynae Cancer
Pre-Menstrual Dysphoric Disorder
Female Infertility
Menstruation Problems
Abnormal Uterine Bleeding
Adenomyosis
Amenorrhea
Dysmenorrhea
Endometriosis
Fibroids
Vaginal Discharge (Leukorrhea)
Menopause
Pregnancy
Anemia
Urinary Tract Infections (UTI)
Polycystic Ovary Syndrome (PCOS)
Menstrual Cramps",Ambulatory Care Center,"Mon, Tue, Wed, Thu, Fri, Sat : 10:00 AM to 04:00 PM",,"English, Urdu."
Dr. Khadija Sarwar,General Physician,Less than 1 years of experience,"Dr. Khadija Sarwar is one of the best General Physician in Rahimyar Khan with a high patient satisfaction rate. She has the following qualifications: MBBSShe has expertise in general medicine and non-surgical health care treatments and services.She continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Khadija Sarwar aims to provide the best healthcare services to people of all age groups.While working in general medicine she focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.Her exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.She provides personalised treatment plans for patients of all age groups. Her expertise in advanced general medicine makes her one of the top certified General Physician in Rahimyar Khan.To book an appointment with Dr. Khadija Sarwar, call (042 32500989/021 37120261) or click on Book an Appointment.",MBBS,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Shaikh Zaid Medical College And Hospital,"Sun, Mon, Tue, Wed, Thu, Fri, Sat : 09:00 AM to 02:00 PM",,"English, Urdu."
Dr. Junaid Mustafa,General Physician,Less than 1 years of experience,"Dr. Junaid Mustafa is one of the best General Physician in Rahimyar Khan with a high patient satisfaction rate. He has the following qualifications: MBBS,FCPSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Junaid Mustafa aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Rahimyar Khan.To book an appointment with Dr. Junaid Mustafa, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
FCPS","Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Shaikh Zaid Medical College And Hospital,"Sun, Sat : 09:00 AM to 02:00 AM


Mon, Tue, Wed, Thu, Fri : 09:00 AM to 02:00 PM",,"English, Urdu."
Dr. Javed Iqbal,General Physician,Less than 1 years of experience,"Dr. Javed Iqbal is one of the best General Physician in Rahimyar Khan with a high patient satisfaction rate. He has the following qualifications: MBBS, FCPSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Javed Iqbal aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Rahimyar Khan.To book an appointment with Dr. Javed Iqbal, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
FCPS","Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Sajid Surgical Hospital,"Mon, Tue, Wed, Thu, Fri, Sat : 03:00 PM to 05:00 PM",,"English, Urdu."
Dr. Abdul Ghaffar Dars,General Physician,Less than 1 years of experience,"Dr. Abdul Ghaffar Dars is one of the best General Physician in Hyderabad with a high patient satisfaction rate. He has the following qualifications: MBBS, FCPSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Abdul Ghaffar Dars aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Hyderabad.To book an appointment with Dr. Abdul Ghaffar Dars, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
FCPS","Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Jeejal Maa Hospital,,,"English, Urdu."
Dr. Abdul Majid,General Physician,14 years of experience,"Dr. Abdul Majid is one of the best General Physician in Karachi with a high patient satisfaction rate. He has the following qualifications: MBBS , FCPSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Abdul Majid aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Karachi.To book an appointment with Dr. Abdul Majid, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
FCPS","Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Pak International Hospital,"Mon, Wed, Sat : 06:00 PM to 08:00 PM",,"English, Urdu."
Dr. M. Mudasir khan,Diabetologist • General Physician • Medical Specialist • Internal Medicine Specialist,10 years of experience,"Dr. M. Mudasir khan is one of the best internal medicine specialists in Islamabad with a high patient satisfaction rate. He has the following qualifications: MBBS,FCPSHis expert specialisation in internal medicine involves diagnosis, and treatment of medical problems in adults via medicine. Dr. M. Mudasir khan also provides care to patients with medical problems.Dr. M. Mudasir khan has been associated with renowned hospitals. He continued serving in the internal medicine department for years treating all kinds of medical problems, including common, complex, and rare.While working in internal medicine he focuses on treatments of internal organ problems using a medicinal approach.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of internal medicine.He has also been practicing advanced internal medicine techniques. Based on existing conditions, he provides customized treatment plans for patients of all adult groups. His expertise in advanced internal medicine makes him one of the top certified internal medicine specialists in Islamabad.To book an appointment with Dr. M. Mudasir khan, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
FCPS","General Health Examination
 Bone Density Screenings
 Critical Care Medicine
 Diagnostic Survey
 ETT
 Preventive Care
 Venipuncture","Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Al Safiya Medical and Diagnostic Centre,,,"English, Urdu."
Dr. Syed Riaz Ul Hassan,Hepatologist • Gastroenterologist • General Physician • Internal Medicine Specialist,Less than 1 years of experience,"Dr. Syed Riaz Ul Hassan is one of the best internal medicine specialists in Karachi with a high patient satisfaction rate. He has the following qualifications: MBBS, FCPSHis expert specialisation in internal medicine involves diagnosis, and treatment of medical problems in adults via medicine. Dr. Syed Riaz Ul Hassan also provides care to patients with medical problems.Dr. Syed Riaz Ul Hassan has been associated with renowned hospitals. He continued serving in the internal medicine department for years treating all kinds of medical problems, including common, complex, and rare.While working in internal medicine he focuses on treatments of internal organ problems using a medicinal approach.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of internal medicine.He has also been practicing advanced internal medicine techniques. Based on existing conditions, he provides customized treatment plans for patients of all adult groups. His expertise in advanced internal medicine makes him one of the top certified internal medicine specialists in Karachi.To book an appointment with Dr. Syed Riaz Ul Hassan, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
FCPS","General Health Examination
 Bone Density Screenings
 Critical Care Medicine
 Diagnostic Survey
 ETT
 Preventive Care
 Venipuncture","Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Remedial Centre Hospital,,,"English, Urdu."
Dr. S.Ikram Ullah Tirmizi,General Physician,12 years of experience,"Dr. S.Ikram Ullah Tirmizi is one of the best General Physician in Islamabad with a high patient satisfaction rate. He has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. S.Ikram Ullah Tirmizi aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Islamabad.To book an appointment with Dr. S.Ikram Ullah Tirmizi, call (042 32500989/021 37120261) or click on Book an Appointment.",,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Rehman Medical Services(RMS),"Mon, Tue, Wed, Thu, Fri, Sat : 08:00 PM to 09:00 PM",,"English, Urdu."
Dr. Rabnawaz Malik,General Physician,35 years of experience,"Dr. Rabnawaz Malik is one of the best General Physician in Multan with a high patient satisfaction rate. He has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Rabnawaz Malik aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Multan.To book an appointment with Dr. Rabnawaz Malik, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS, FRCS","Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Buch International Hospital,"Mon, Tue, Wed, Thu, Fri : 05:00 PM to 07:00 PM


Sat : 10:00 AM to 08:00 PM",,"English, Urdu."
Dr. Rukhsana Imran,General Physician,34 years of experience,"Dr. Rukhsana Imran is one of the best General Physician in Lahore with a high patient satisfaction rate. She has the following qualifications: MBBS, RMPShe has expertise in general medicine and non-surgical health care treatments and services.She continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Rukhsana Imran aims to provide the best healthcare services to people of all age groups.While working in general medicine she focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.Her exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.She provides personalised treatment plans for patients of all age groups. Her expertise in advanced general medicine makes her one of the top certified General Physician in Lahore.To book an appointment with Dr. Rukhsana Imran, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
RMP","Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever
Nausea",Defence Medical Group,"Mon, Tue, Wed, Thu, Fri : 07:00 PM to 10:00 PM",,"English, Urdu."
Dr. Haseeb Ahmed Khan,Internal Medicine Specialist • General Physician • Vascular Surgeon • Rheumatologist,14 years of experience,"Dr. Haseeb Ahmed Khan is one of the best rheumatologists in Lahore with a high patient satisfaction rate. He has the following qualifications: MBBS, FCPS, MRCPHe has expertise in the diagnosis, and treatment of diseases of joints, bones, tendons, ligaments, and muscles.He continued serving in different rheumatology departments for years treating all kinds of musculoskeletal conditions and systemic autoimmune diseases. These conditions include osteoporosis, arthritis, back pain, osteoarthritis, etc.While working in rheumatology he focuses on the treatment and management of various autoimmune and musculoskeletal conditions using both medical and physical therapy approaches.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of rheumatology.He provides customized treatment plans for patients of all age groups. His expertise in advanced rheumatology makes him one of the top certified rheumatologists in Lahore.To book an appointment with Dr. Haseeb Ahmed Khan, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS - Allama Iqbal Medical College, 2010
FCPS Medicine - Allama Iqbal Medical College, 2016
FCPS (Rheumatology) - Allama Iqbal Medical College, 2019
MRCP SCE Rheumatology ( UK) - Allama Iqbal Medical College, 2019
EULAR Certficate of Rheumatic Diseae (UK) - Allama Iqbal Medical College, 2019
EULAR Certificate of Radiology in Rheumatology (UK) - Allama Iqbal Medical College, 2019","Bone Densitometry
 Pharmacotherapy
 Recommendation For Use Of Dmards
 Treatment Of Joint Disease","Bursitis (Bursa)
Osteoporosis
Fibromyalgia
Gout
Giant Cell Arteritis
Lupus
Hypersensitivity Vasculitis
Kawasaki Syndrome
Polymyositis
Bechet's Disease
Systemic Lupus Erythematosus (SLE)",Dr. Haseeb Rheumatology Clinic,"Mon, Wed, Thu, Sat : 05:00 PM to 06:45 PM


Tue : 06:00 PM to 09:00 PM",,"English, Urdu."
Dr. Tariq Erani,General Physician,7 years of experience,"Dr. Tariq Erani is one of the best General Physician in Karachi with a high patient satisfaction rate. He has the following qualifications: MBBSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Tariq Erani aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Karachi.To book an appointment with Dr. Tariq Erani, call (042 32500989/021 37120261) or click on Book an Appointment.",MBBS,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG
 Gynaecologist","Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever
Nausea",Pak International Hospital,"Tue, Fri, Sat : 06:00 PM to 09:00 PM",,"English, Urdu."
